Title,Tags,Thumbnail,Project Page,PDF,Video,One-liner,Authors,Venue,Venue Short,Year,Review,Award
KissGlass: Greeting Gesture Recognition using Smart Glasses,Interaction,kissglass.png,,2020-ahs-kissglass.pdf,,,"Richard Li, Juyoung Lee, Woontack Woo, Thad Starner",Augmented Humans International Conference,AHs,2020,Full,
"Evaluating a Novel, Portable, Self-Administered Device (""Flicker-App"") that Measures Critical Flicker Frequency as a Test for Hepatic Encephalopathy in Patients with Cirrhosis",Cognitive,beacon.png,,,,,"Philip Vutien, Ravi Karkar, Richard Li, Kara Walter, Sean Munson, James Fogarty, George Ioannou",AASLD The Liver Meeting Digital Experience,AASLD TLM,2020,Light,
Prediction of Mood Instability with Passive Sensing,Activity,,,2019-imwut-mood_instability.pdf,,,"Mehrab Bin Morshed, Koustuv Saha, Richard Li, Sidney K D'Mello, Munmun De Choudhury, Gregory D Abowd, Thomas Plötz","Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",PACM IMWUT,2019,Full,
ScratchThat: Supporting Command-Agnostic Speech Repair in Voice-Driven Assistants,Interaction,scratchthat.png,,2019-imwut-scratchthat.pdf,,,"Jason Wu, Karan Ahuja, Richard Li, Victor Chen, Jeffrey Bigham","Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",PACM IMWUT,2019,Full,
TongueBoard: An Oral Interface for Subtle Input,"Selected, Interaction",tongueboard.png,,2019-ahs-tongueboard.pdf,,,"Richard Li, Jason Wu, Thad Starner",Augmented Humans International Conference,AHs,2019,Full,
"ScratchVR: Low-Cost, Calibration-Free Sensing for Tactile Input on Mobile Virtual Reality Enclosures",Interaction,scratch.png,,2018-iswc-scratchvr.pdf,,,"Richard Li, Victor Chen, Gabriel Reyes, Thad Starner",ACM International Symposium on Wearable Computers,ACM ISWC,2018,Full,
Buccal: Low-Cost Cheek Sensing for Inferring Continuous Jaw Motion in Mobile Virtual Reality,Interaction,buccal.png,,2018-iswc-buccal.pdf,,,"Richard Li, Gabriel Reyes",ACM International Symposium on Wearable Computers,ACM ISWC,2018,Full,
WristWash: Towards Automatic Handwashing Assessment Using a Wrist-Worn Device,Activity,,,2018-iswc-wristwash.pdf,,,"Hong Li, Shishir Chawla, Richard Li, Sumeet Jain, Gregory D Abowd, Thad Starner, Cheng Zhang, Thomas Plötz",ACM International Symposium on Wearable Computers,ACM ISWC,2018,Full,
EarBit: Using Wearable Sensors to Detect Eating Episodes in Unconstrained Environments,"Selected, Activity",earbit.png,,2017-imwut-earbit.pdf,https://www.youtube.com/watch?v=JEK5lrhQKwc,,"Abdelkareem Bedri, Richard Li, Malcolm Haynes, Raj Prateek Kosaraju, Ishaan Grover, Temiloluwa Prioleau, Min Yan Beh, Mayank Goel, Thad Starner, Gregory Abowd","Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",PACM IMWUT,2017,Full,
Tactile Teacher: Enhancing Traditional Piano Lessons with Tactile Instructions,Interaction,tactile_teacher.png,,2016-cscw_poster-tactile_teacher.pdf,,,"Richard Li, Yingyan Wang, Chih-Pin Hsiao, Nicholas Davis, James Hallam, Ellen Yi-Luen Do",ACM Conference on Computer Supported Cooperative Work and Social Computing Poster,ACM CSCW Poster,2016,Light,
Tactile Teacher: Sensing Finger Tapping in Piano Playing,Interaction,tactile_teacher.png,,2015-tei_demo-tactile_teacher.pdf,,,"Chih-Pin Hsiao, Richard Li, Xinyan Yan, Ellen Yi-Luen Do","ACM Tangible, Embedded, and Embodied Interaction Demo",ACM TEI Demo,2015,Light,
